"","participante","Já.realizou.alguma.pesquisa.sobre.simbolismo.sonoro.","Já.participou.de.algum.experimento.relacionado.a.dar.nomes.a.Pokémons.","nome","tipo","pokemon","transcript","mantem"
"33","pl7","Não","Não","besourinhonv","evil","Escartar","es-kaR-'taR","sim"
"34","pl8","Não","Não","besourinhonv","evil","Lilicon","li-'li-k~o","sim"
"35","pl9","Não","Não","besourinhonv","evil","Cargavo","kaR-'ga-vo","sim"
"36","pl10","Não","Não","besourinhonv","evil","Pokecockroach Malvadan","po-ke-ko-kro-'a-S maw-'va-d~a","nao"
"37","pl11","Não","Não","besourinhonv","evil","Rabstone","ha-bis-'to-ne","nao"
"38","pl12","Não","Não","besourinhonv","evil","Tarbarazen","taR-ba-'ra-z~e","sim"
"39","pl13","Não","Não","besourinhonv","evil","Mafuzo","ma-'fu-zo","sim"
"40","pl14","Não","Não","besourinhonv","evil","Barigui","ba-ri-'gi","sim"
"41","pl15","Não","Não","besourinhonv","evil","Craus","kraws","sim"
"42","pl16","Não","Não","besourinhonv","evil","Tartamon","taR-'ta-m~o","nao"
"43","pl17","Não","Não","besourinhonv","evil","Tortor","toR-'toR","sim"
"44","pl18","Não","Não","besourinhonv","evil","Triz","tris","nao"
"45","pl19","Não","Não","besourinhonv","evil","Zetereu","ze-te-'rew","sim"
"46","pl20","Não","Não","besourinhonv","evil","Estrator","es-tra-'toR","nao"
"47","pl21","Não","Não","besourinhonv","evil","Escúdero","es-'ku-de-ro","sim"
"48","pl22","Não","Não","besourinhonv","evil","ExoBaratão","e-So-ba-ra-'t~aw","nao"
"49","pl23","Não","Não","besourinhonv","evil","Kabuntin","ka-b~u-'t~i","nao"
"50","pl24","Não","Não","besourinhonv","evil","Uenunb","ue-'n~u-bi","nao"
"51","pl25","Não","Não","besourinhonv","evil","Disporcíra","dis-poR-'si-ra","sim"
"52","pl26","Não","Não","besourinhonv","evil","Quarzar","kwaR-'zaR","sim"
"53","pl1","Não","Não","demoniozinhonv","evil","Suilli","suj-'li","nao"
"54","pl2","Não","Não","demoniozinhonv","evil","Alume","a-'lu-me","sim"
"55","pl3","Não","Não","demoniozinhonv","evil","Ispix","is-piS","sim"
"56","pl4","Não","Não","demoniozinhonv","evil","malavo","ma-'la-vo","sim"
"57","pl5","Não","Não","demoniozinhonv","evil","Téva","te-va","sim"
"58","pl6","Não","Não","demoniozinhonv","evil","Sonegra","so-'ne-gra","nao"
"59","pl7","Não","Não","demoniozinhonv","evil","Noterido","no-te-'ri-do","sim"
"60","pl8","Não","Não","demoniozinhonv","evil","Serpokemon","seR-po-'ke-m~o","nao"
"61","pl9","Não","Não","demoniozinhonv","evil","Trucude","tru-'ku-de","sim"
"62","pl10","Não","Não","demoniozinhonv","evil","FuriousNegro Olhos de fogo","fu-ri-ows-'ne-gro 'o-Los de 'fo-go","nao"
"63","pl11","Não","Não","demoniozinhonv","evil","Eevilnight","e-e-viw-'ni-ght","nao"
"64","pl12","Não","Não","demoniozinhonv","evil","Blackeyezen","bla-'keje-z~e","nao"
"65","pl13","Não","Não","demoniozinhonv","evil","Poturo","po-'tu-ro","sim"
"66","pl14","Não","Não","demoniozinhonv","evil","Cabatatu","ka-ba-ta-'tu","sim"
"67","pl15","Não","Não","demoniozinhonv","evil","Estrela Noturna","es-'tre-la no-'tuR-na","nao"
"68","pl16","Não","Não","demoniozinhonv","evil","Tilevon","ti-'le-v~o","sim"
"69","pl17","Não","Não","demoniozinhonv","evil","Lica","li-ka","sim"
"70","pl18","Não","Não","demoniozinhonv","evil","Uvu","u-'vu","sim"
"71","pl19","Não","Não","demoniozinhonv","evil","Lutra","lu-tra","sim"
"72","pl20","Não","Não","demoniozinhonv","evil","Livide","li-'vi-de","sim"
"73","pl21","Não","Não","demoniozinhonv","evil","Nívadi","ni-va-di","sim"
"74","pl22","Não","Não","demoniozinhonv","evil","Gatodemo","ga-to-'de-mo","nao"
"75","pl23","Não","Não","demoniozinhonv","evil","Espelon","es-'pe-l~o","sim"
"76","pl24","Não","Não","demoniozinhonv","evil","Slotynk","slo-t~ik","nao"
"77","pl25","Não","Não","demoniozinhonv","evil","gustri alado","gus-'tri a-'la-do","nao"
"78","pl26","Não","Não","demoniozinhonv","evil","Daspi","das-'pi","sim"
"79","pl1","Não","Não","longuinhov","voador","Laun","lawn","sim"
"80","pl2","Não","Não","longuinhov","voador","Garça","gaR-sa","nao"
"81","pl3","Não","Não","longuinhov","voador","Fleuro","flew-ro","sim"
"82","pl4","Não","Não","longuinhov","voador","galavi","ga-la-'vi","sim"
"83","pl5","Não","Não","longuinhov","voador","Sôuciar","sow-si-aR","sim"
"84","pl6","Não","Não","longuinhov","voador","Aguizu","a-gi-'zu","nao"
"85","pl7","Não","Não","longuinhov","voador","Azibur","a-zi-'buR","sim"
"86","pl8","Não","Não","longuinhov","voador","Pokeave","po-ke-'a-ve","nao"
"87","pl9","Não","Não","longuinhov","voador","Videpole","vi-de-'po-le","sim"
"88","pl10","Não","Não","longuinhov","voador","Falcão Esplendoroso","faw-'k~aw es-pl~e-do-'ro-zo","nao"
"89","pl11","Não","Não","longuinhov","voador","Heronair","e-ro-na-'iR","nao"
"90","pl12","Não","Não","longuinhov","voador","Garzan","gaR-z~a","sim"
"91","pl13","Não","Não","longuinhov","voador","Safi","sa-'fi","sim"
"92","pl14","Não","Não","longuinhov","voador","Graúna","gra-'u-na","nao"
"93","pl15","Não","Não","longuinhov","voador","Bicéu","bi-'sew","nao"
"94","pl16","Não","Não","longuinhov","voador","Parapotz","pa-ra-'po-tis","nao"
"95","pl17","Não","Não","longuinhov","voador","Quago","kwa-go","sim"
"96","pl18","Não","Não","longuinhov","voador","Lou","low","sim"
"97","pl19","Não","Não","longuinhov","voador","Goremum","go-re-'m~u","sim"
"98","pl20","Não","Não","longuinhov","voador","Sustle","sus-tle","nao"
"99","pl21","Não","Não","longuinhov","voador","Blozio","blo-'zio","sim"
"100","pl22","Não","Não","longuinhov","voador","Azulmar","a-zuw-'maR","nao"
"101","pl23","Não","Não","longuinhov","voador","Aqüere","a-'q√ºe-re","nao"
"102","pl24","Não","Não","longuinhov","voador","Pilifghy","pi-'li-fi-Zi","nao"
"103","pl25","Não","Não","longuinhov","voador","Papicão","pa-pi-'k~aw","nao"
"104","pl26","Não","Não","longuinhov","voador","Golumbo","go-'l~u-bo","sim"
"105","pl1","Não","Não","baleinhanv","evil","Blêne","ble-ne","sim"
"106","pl2","Não","Não","baleinhanv","evil","Bauba","baw-ba","sim"
"107","pl3","Não","Não","baleinhanv","evil","Cron","kr~o","sim"
"108","pl4","Não","Não","baleinhanv","evil","tubavá","tu-ba-'va","sim"
"109","pl5","Não","Não","baleinhanv","evil","Prefron","pre-fr~o","sim"
"110","pl6","Não","Não","baleinhanv","evil","rochelo","ho-'Se-lo","nao"
"111","pl7","Não","Não","baleinhanv","evil","Casterio","kas-te-'rio","sim"
"112","pl8","Não","Não","baleinhanv","evil","Wayan","waj~a","nao"
"113","pl9","Não","Não","baleinhanv","evil","Eventili","e-v~e-ti-'li","nao"
"114","pl10","Não","Não","baleinhanv","evil","Tubaropetrus","tu-ba-ro-pe-'trus","nao"
"115","pl11","Não","Não","baleinhanv","evil","Whashark","wa-'SaR-ki","nao"
"116","pl12","Não","Não","baleinhanv","evil","Troveshark","tro-ve-'SaR-ki","nao"
"117","pl13","Não","Não","baleinhanv","evil","Groto","gro-to","sim"
"118","pl14","Não","Não","baleinhanv","evil","Lion","li-~o","nao"
"119","pl15","Não","Não","baleinhanv","evil","Chamas do mar","Sa-mas do 'maR","nao"
"120","pl16","Não","Não","baleinhanv","evil","Bravim","bra-'v~i","nao"
"121","pl17","Não","Não","baleinhanv","evil","Gondor","g~o-'doR","sim"
"122","pl18","Não","Não","baleinhanv","evil","Arg","aR-gi","nao"
"123","pl19","Não","Não","baleinhanv","evil","Vidrufo","vi-'dru-fo","sim"
"124","pl20","Não","Não","baleinhanv","evil","Coraci","ko-ra-'si","sim"
"125","pl21","Não","Não","baleinhanv","evil","Crovador","kro-va-'doR","sim"
"126","pl22","Não","Não","baleinhanv","evil","Cracaleia","kra-ka-'lej-a","nao"
"127","pl23","Não","Não","baleinhanv","evil","Cortubar","koR-tu-'baR","nao"
"128","pl24","Não","Não","baleinhanv","evil","Wetvyjiu","we-ti-'viZiw","nao"
"129","pl25","Não","Não","baleinhanv","evil","tolete dentado","to-'le-te d~e-'ta-do","nao"
"130","pl26","Não","Não","baleinhanv","evil","Mamoré","ma-mo-'re","sim"
"131","pl1","Não","Não","ferinhanv","evil","Catau","ka-'taw","sim"
"132","pl2","Não","Não","ferinhanv","evil","Kraum","krawm","sim"
"133","pl3","Não","Não","ferinhanv","evil","Pevioto","pe-vi-'o-to","sim"
"134","pl4","Não","Não","ferinhanv","evil","tiregoi","ti-re-'goj","sim"
"135","pl5","Não","Não","ferinhanv","evil","Gatáct","ga-'ta-ki-ti","nao"
"136","pl6","Não","Não","ferinhanv","evil","Blupardo","blu-'paR-do","nao"
"137","pl7","Não","Não","ferinhanv","evil","Blitarode","bli-ta-'ro-de","sim"
"138","pl8","Não","Não","ferinhanv","evil","Max-mon","maS 'm~o","nao"
"139","pl9","Não","Não","ferinhanv","evil","Depotulo","de-po-'tu-lo","sim"
"140","pl10","Não","Não","ferinhanv","evil","Panteraice","p~a-te-'raj-se","nao"
"141","pl11","Não","Não","ferinhanv","evil","Steeliger","is-te-e-li-'ZeR","nao"
"142","pl12","Não","Não","ferinhanv","evil","Froztree","fros-'tre-e","nao"
"143","pl13","Não","Não","ferinhanv","evil","Gardo","gaR-do","sim"
"144","pl14","Não","Não","ferinhanv","evil","Îagûara","√Æa-'g√ªa-ra","sim"
"145","pl15","Não","Não","ferinhanv","evil","Gelose","Ze-'lo-ze","nao"
"146","pl16","Não","Não","ferinhanv","evil","Bragato","bra-'ga-to","nao"
"147","pl17","Não","Não","ferinhanv","evil","Camorer","ka-mo-'reR","sim"
"148","pl18","Não","Não","ferinhanv","evil","Iau","i-'aw","sim"
"149","pl19","Não","Não","ferinhanv","evil","Dufete","du-'fe-te","sim"
"150","pl20","Não","Não","ferinhanv","evil","Ywit","iwi-ti","nao"
"151","pl21","Não","Não","ferinhanv","evil","Chitarim","Si-ta-'r~i","sim"
"152","pl22","Não","Não","ferinhanv","evil","Inverno","~i-'veR-no","nao"
"153","pl23","Não","Não","ferinhanv","evil","Ferdarin","feR-da-'r~i","nao"
"154","pl24","Não","Não","ferinhanv","evil","Swobhy","swo-bi","nao"
"155","pl25","Não","Não","ferinhanv","evil","Crax","kraS","sim"
"156","pl26","Não","Não","ferinhanv","evil","Lufonte","lu-'f~o-te","nao"
"157","pl1","Não","Não","lilasinhov","voador","Fal","faw","sim"
"158","pl2","Não","Não","lilasinhov","voador","Wille","wi-le","nao"
"159","pl3","Não","Não","lilasinhov","voador","Lays","lajs","nao"
"160","pl4","Não","Não","lilasinhov","voador","biborla","bi-'boR-la","sim"
"161","pl5","Não","Não","lilasinhov","voador","Flíu","fli-u","sim"
"162","pl6","Não","Não","lilasinhov","voador","lorefly","lo-'re-fli","nao"
"163","pl7","Não","Não","lilasinhov","voador","Minsir","m~i-'siR","sim"
"164","pl8","Não","Não","lilasinhov","voador","Lidinians","li-di-'ni-~as","sim"
"165","pl9","Não","Não","lilasinhov","voador","Buznae","bus-'na-e","sim"
"166","pl10","Não","Não","lilasinhov","voador","Largoborboleta","laR-go-boR-bo-'le-ta","nao"
"167","pl11","Não","Não","lilasinhov","voador","Butterdrill","bu-teR-'driw","nao"
"168","pl12","Não","Não","lilasinhov","voador","Butterlive","bu-teR-'li-ve","nao"
"169","pl13","Não","Não","lilasinhov","voador","Vessa","ve-sa","sim"
"170","pl14","Não","Não","lilasinhov","voador","banã","ba-'n~a","sim"
"171","pl15","Não","Não","lilasinhov","voador","Amade","a-'ma-de","sim"
"172","pl16","Não","Não","lilasinhov","voador","Butterlim","bu-teR-'l~i","nao"
"173","pl17","Não","Não","lilasinhov","voador","Biti","bi-'ti","sim"
"174","pl18","Não","Não","lilasinhov","voador","Biz","bis","sim"
"175","pl19","Não","Não","lilasinhov","voador","Libure","li-'bu-re","sim"
"176","pl20","Não","Não","lilasinhov","voador","Nandar","n~a-'daR","sim"
"177","pl21","Não","Não","lilasinhov","voador","Mauliem","maw-'li-~e","sim"
"178","pl22","Não","Não","lilasinhov","voador","Borblueleta","boR-blu-e-'le-ta","nao"
"179","pl23","Não","Não","lilasinhov","voador","Marbon","maR-b~o","sim"
"180","pl24","Não","Não","lilasinhov","voador","Ryklock","hiklo-ki","nao"
"181","pl25","Não","Não","lilasinhov","voador","Zilia","zi-'lia","sim"
"182","pl26","Não","Não","lilasinhov","voador","Bartarina","baR-ta-'ri-na","sim"
"183","pl1","Não","Não","branquinhov","voador","Iquiqui","i-ki-'ki","sim"
"184","pl2","Não","Não","branquinhov","voador","Laux","lawS","sim"
"185","pl3","Não","Não","branquinhov","voador","Gito","Zi-to","sim"
"186","pl4","Não","Não","branquinhov","voador","avigau","a-vi-'gaw","nao"
"187","pl5","Não","Não","branquinhov","voador","Gárkrics","gaR-kri-cis","nao"
"188","pl6","Não","Não","branquinhov","voador","voanu","vo-a-'nu","nao"
"189","pl7","Não","Não","branquinhov","voador","Suboril","su-bo-'riw","sim"
"190","pl8","Não","Não","branquinhov","voador","Joen","Zo-~e","sim"
"191","pl9","Não","Não","branquinhov","voador","Ninbelive","n~i-be-'li-ve","sim"
"192","pl10","Não","Não","branquinhov","voador","Bichotoenail","bi-So-to-e-'najw","nao"
"193","pl11","Não","Não","branquinhov","voador","Helix","e-liS","sim"
"194","pl12","Não","Não","branquinhov","voador","Gozoden","go-'zo-d~e","sim"
"195","pl13","Não","Não","branquinhov","voador","Talilu","ta-li-'lu","sim"
"196","pl14","Não","Não","branquinhov","voador","Ravina","ha-'vi-na","nao"
"197","pl15","Não","Não","branquinhov","voador","Rapto","'ha-pi-to","nao"
"198","pl16","Não","Não","branquinhov","voador","Avonte","a-'v~o-te","sim"
"199","pl17","Não","Não","branquinhov","voador","Argon","aR-g~o","sim"
"200","pl18","Não","Não","branquinhov","voador","Bu","bu","sim"
"201","pl19","Não","Não","branquinhov","voador","Matrivi","ma-tri-'vi","sim"
"202","pl20","Não","Não","branquinhov","voador","Unial","u-ni-'aw","sim"
"203","pl21","Não","Não","branquinhov","voador","Tátique","ta-ti-ke","sim"
"204","pl22","Não","Não","branquinhov","voador","Abraçanoite","a-bra-sa-'noj-te","nao"
"205","pl23","Não","Não","branquinhov","voador","Equeni","e-ke-'ni","sim"
"206","pl24","Não","Não","branquinhov","voador","Quyduil","kidujw","nao"
"207","pl25","Não","Não","branquinhov","voador","Grustinque","grus-'t~i-ke","sim"
"208","pl26","Não","Não","branquinhov","voador","Gaspo","gas-po","sim"
"209","pl1","Não","Não","laranjinhav","voador","Pimo","pi-mo","sim"
"210","pl2","Não","Não","laranjinhav","voador","Pope","po-pe","sim"
"211","pl3","Não","Não","laranjinhav","voador","Caxu","ka-'Su","sim"
"212","pl4","Não","Não","laranjinhav","voador","galila","ga-'li-la","sim"
"213","pl5","Não","Não","laranjinhav","voador","Forrange","fo-'h~a-Ze","sim"
"214","pl6","Não","Não","laranjinhav","voador","gollinha","go-'li-Na","nao"
"215","pl7","Não","Não","laranjinhav","voador","Vamper","v~a-'peR","nao"
"216","pl8","Não","Não","laranjinhav","voador","Philmon","fiw-m~o","nao"
"217","pl9","Não","Não","laranjinhav","voador","Potafui","po-ta-'fuj","sim"
"218","pl10","Não","Não","laranjinhav","voador","Laranroxo feris","la-r~a-'ho-So fe-'ris","nao"
"219","pl11","Não","Não","laranjinhav","voador","Pigen","pi-Z~e","sim"
"220","pl12","Não","Não","laranjinhav","voador","Galpon","gaw-p~o","sim"
"221","pl13","Não","Não","laranjinhav","voador","Piraca","pi-'ra-ka","sim"
"222","pl14","Não","Não","laranjinhav","voador","Calapalo","ka-la-'pa-lo","sim"
"223","pl15","Não","Não","laranjinhav","voador","Biqueiro voador","bi-'kej-ro vo-a-'doR","nao"
"224","pl16","Não","Não","laranjinhav","voador","Pilim","pi-'l~i","sim"
"225","pl17","Não","Não","laranjinhav","voador","Picor","pi-'koR","sim"
"226","pl18","Não","Não","laranjinhav","voador","Piu","piw","nao"
"227","pl19","Não","Não","laranjinhav","voador","Odezu","o-de-'zu","sim"
"228","pl20","Não","Não","laranjinhav","voador","Combalio","k~o-ba-'lio","sim"
"229","pl21","Não","Não","laranjinhav","voador","Lariem","la-'ri-~e","sim"
"230","pl22","Não","Não","laranjinhav","voador","PapaVento","pa-pa-'v~e-to","nao"
"231","pl23","Não","Não","laranjinhav","voador","Paiforé","paj-fo-'re","sim"
"232","pl24","Não","Não","laranjinhav","voador","Revlov","he-'vlo-v","nao"
"233","pl25","Não","Não","laranjinhav","voador","Arim","a-'r~i","sim"
"234","pl26","Não","Não","laranjinhav","voador","Porminho","poR-'mi-No","nao"
"235","pl1","Não","Não","ursinhonv","evil","Crate","kra-te","sim"
"236","pl2","Não","Não","ursinhonv","evil","Urse","uR-se","nao"
"237","pl3","Não","Não","ursinhonv","evil","Voltron","vow-tr~o","sim"
"238","pl4","Não","Não","ursinhonv","evil","urpaso","uR-'pa-zo","nao"
"239","pl5","Não","Não","ursinhonv","evil","Eskluro","es-'klu-ro","nao"
"240","pl6","Não","Não","ursinhonv","evil","Solaris","so-la-'ris","nao"
"241","pl7","Não","Não","ursinhonv","evil","Bodarem","bo-'da-r~e","sim"
"242","pl8","Não","Não","ursinhonv","evil","Nyan-mon","ni~a 'm~o","nao"
"243","pl9","Não","Não","ursinhonv","evil","Ingualidre","~i-gwa-'li-dre","sim"
"244","pl10","Não","Não","ursinhonv","evil","Magnusmus, O Furioso","ma-gi-nus-'mus o fu-ri-'o-zo","nao"
"245","pl11","Não","Não","ursinhonv","evil","Berfox","beR-foS","nao"
"246","pl12","Não","Não","ursinhonv","evil","Ursted","uR-is-'te-di","nao"
"247","pl13","Não","Não","ursinhonv","evil","Banto","b~a-to","sim"
"248","pl14","Não","Não","ursinhonv","evil","Ubiratan","u-bi-'ra-t~a","nao"
"249","pl15","Não","Não","ursinhonv","evil","Rau","haw","sim"
"250","pl16","Não","Não","ursinhonv","evil","Urleont","uR-le-'~o-ti","nao"
"251","pl17","Não","Não","ursinhonv","evil","Grolor","gro-'loR","sim"
"252","pl18","Não","Não","ursinhonv","evil","Po","po","sim"
"253","pl19","Não","Não","ursinhonv","evil","Geti","Ze-'ti","sim"
"254","pl20","Não","Não","ursinhonv","evil","Psura","pi-'su-ra","nao"
"255","pl21","Não","Não","ursinhonv","evil","Clôvou","klo-vow","sim"
"256","pl22","Não","Não","ursinhonv","evil","Lobão Azul","lo-'b~aw a-'zuw","nao"
"257","pl23","Não","Não","ursinhonv","evil","Gozarû","go-'za-h√ª","nao"
"258","pl24","Não","Não","ursinhonv","evil","Globulin","glo-bu-'l~i","sim"
"259","pl25","Não","Não","ursinhonv","evil","Scum","s~u","nao"
"260","pl26","Não","Não","ursinhonv","evil","Licampo","li-'k~a-po","sim"
"261","pl1","Não","Não","cobrinhanv","evil","Sissiki","si-si-'ki","sim"
"262","pl2","Não","Não","cobrinhanv","evil","Skaf","is-'ka-fi","nao"
"263","pl3","Não","Não","cobrinhanv","evil","Sibena","si-'be-na","sim"
"264","pl4","Não","Não","cobrinhanv","evil","colila","ko-'li-la","sim"
"265","pl5","Não","Não","cobrinhanv","evil","Vájat","va-Za-ti","nao"
"266","pl6","Não","Não","cobrinhanv","evil","terraris","te-ha-'ris","nao"
"267","pl7","Não","Não","cobrinhanv","evil","Sontil","s~o-'tiw","sim"
"268","pl8","Não","Não","cobrinhanv","evil","Fragomon","fra-'go-m~o","sim"
"269","pl9","Não","Não","cobrinhanv","evil","Tridezu","tri-de-'zu","sim"
"270","pl10","Não","Não","cobrinhanv","evil","Serpente, a Traiçoeira","seR-'p~e-te a traj-so-'ej-ra","nao"
"271","pl11","Não","Não","cobrinhanv","evil","Amethy","a-'me-ti","nao"
"272","pl12","Não","Não","cobrinhanv","evil","Nazacure","na-za-'ku-re","sim"
"273","pl13","Não","Não","cobrinhanv","evil","Sadi","sa-'di","sim"
"274","pl14","Não","Não","cobrinhanv","evil","Malé","ma-'le","sim"
"275","pl15","Não","Não","cobrinhanv","evil","Arinosa","a-ri-'no-za","sim"
"276","pl16","Não","Não","cobrinhanv","evil","Periglote","pe-ri-'glo-te","nao"
"277","pl17","Não","Não","cobrinhanv","evil","Verper","veR-'peR","sim"
"278","pl18","Não","Não","cobrinhanv","evil","Shi","Si","sim"
"279","pl19","Não","Não","cobrinhanv","evil","Fligue","fli-ge","sim"
"280","pl20","Não","Não","cobrinhanv","evil","Saneda","sa-'ne-da","sim"
"281","pl21","Não","Não","cobrinhanv","evil","Zabratir","za-bra-'tiR","sim"
"282","pl22","Não","Não","cobrinhanv","evil","Venocobra","ve-no-'ko-bra","nao"
"283","pl23","Não","Não","cobrinhanv","evil","Sarsofi","saR-so-'fi","sim"
"284","pl24","Não","Não","cobrinhanv","evil","Srelame","sRe-'la-me","nao"
"285","pl25","Não","Não","cobrinhanv","evil","Brax fem","braS 'f~e","nao"
"286","pl26","Não","Não","cobrinhanv","evil","Mututu","mu-tu-'tu","sim"
"287","pl1","Não","Não","louquinhonv","evil","Jinom","Zi-n~o","sim"
"288","pl2","Não","Não","louquinhonv","evil","Rambol","h~a-'bow","sim"
"289","pl3","Não","Não","louquinhonv","evil","Estraque","es-'tra-ke","sim"
"290","pl4","Não","Não","louquinhonv","evil","mamatu","ma-ma-'tu","sim"
"291","pl5","Não","Não","louquinhonv","evil","Bombanar","b~o-ba-'naR","sim"
"292","pl6","Não","Não","louquinhonv","evil","Polares","po-'la-res","nao"
"293","pl7","Não","Não","louquinhonv","evil","Temora","te-'mo-ra","sim"
"294","pl8","Não","Não","louquinhonv","evil","Trelegon","tre-'le-g~o","sim"
"295","pl9","Não","Não","louquinhonv","evil","Boprefone","bo-pre-'fo-ne","sim"
"296","pl10","Não","Não","louquinhonv","evil","Triceratodevastor","tri-se-ra-to-de-vas-'toR","nao"
"297","pl11","Não","Não","louquinhonv","evil","Robord","ho-'boR-di","nao"
"298","pl12","Não","Não","louquinhonv","evil","Gavezur","ga-ve-'zuR","sim"
"299","pl13","Não","Não","louquinhonv","evil","padu","pa-'du","sim"
"300","pl14","Não","Não","louquinhonv","evil","Timbo","t~i-bo","sim"
"301","pl15","Não","Não","louquinhonv","evil","Sônico","so-ni-ko","nao"
"302","pl16","Não","Não","louquinhonv","evil","Ciborgue","si-'boR-ge","nao"
"303","pl17","Não","Não","louquinhonv","evil","Razeror","ha-ze-'roR","sim"
"304","pl18","Não","Não","louquinhonv","evil","Argh","aR-gh","nao"
"305","pl19","Não","Não","louquinhonv","evil","Murá","mu-'ra","sim"
"306","pl20","Não","Não","louquinhonv","evil","Omaneda","o-ma-'ne-da","sim"
"307","pl21","Não","Não","louquinhonv","evil","Quifatirde","ki-fa-'tiR-de","sim"
"308","pl22","Não","Não","louquinhonv","evil","Sateliverso","sa-te-li-'veR-so","nao"
"309","pl23","Não","Não","louquinhonv","evil","Drorico","dro-'ri-ko","sim"
"310","pl24","Não","Não","louquinhonv","evil","Wunot","wu-'no-ti","nao"
"311","pl25","Não","Não","louquinhonv","evil","xitozino","Si-to-'zi-no","sim"
"312","pl26","Não","Não","louquinhonv","evil","Horra","o-ha","sim"
"313","pl1","Não","Não","canhaozinhonv","evil","Dentiça","d~e-'ti-sa","nao"
"314","pl2","Não","Não","canhaozinhonv","evil","Poke","po-ke","nao"
"315","pl3","Não","Não","canhaozinhonv","evil","Dilfor","diw-'foR","sim"
"316","pl4","Não","Não","canhaozinhonv","evil","dinato","di-'na-to","sim"
"317","pl5","Não","Não","canhaozinhonv","evil","Satêro","sa-'te-ro","sim"
"318","pl6","Não","Não","canhaozinhonv","evil","Rochava","ho-'Sa-va","nao"
"319","pl7","Não","Não","canhaozinhonv","evil","Cabul","ka-'buw","nao"
"320","pl8","Não","Não","canhaozinhonv","evil","Bartmane","baR-ti-'ma-ne","nao"
"321","pl9","Não","Não","canhaozinhonv","evil","Foline","fo-'li-ne","sim"
"322","pl10","Não","Não","canhaozinhonv","evil","Canhão de Fogo","ka-'N~aw de 'fo-go","nao"
"323","pl11","Não","Não","canhaozinhonv","evil","Cangrow","k~a-'gro-w","nao"
"324","pl12","Não","Não","canhaozinhonv","evil","Turblarg","tuR-'blaR-gi","nao"
"325","pl13","Não","Não","canhaozinhonv","evil","Goufo","gow-fo","sim"
"326","pl14","Não","Não","canhaozinhonv","evil","Petoca","pe-'to-ka","sim"
"327","pl15","Não","Não","canhaozinhonv","evil","Pedrário","pe-'dra-rio","nao"
"328","pl16","Não","Não","canhaozinhonv","evil","Canhão","ka-'N~aw","nao"
"329","pl17","Não","Não","canhaozinhonv","evil","Ferbol","feR-'bow","sim"
"330","pl18","Não","Não","canhaozinhonv","evil","Buf","bu-fi","nao"
